text,label
this product is amazing and works perfectly every time,pos
i am extremely happy with this amazing purchase,pos
"such a amazing gadget, i would happily buy it again",pos
"the device exceeded my expectations, truly amazing overall",pos
"absolutely amazing, this package is worth every penny",pos
"what a amazing service, i highly recommend it to everyone",pos
this purchase is fantastic and works perfectly every time,pos
i am extremely happy with this fantastic gadget,pos
"such a fantastic device, i would happily buy it again",pos
"the package exceeded my expectations, truly fantastic overall",pos
"absolutely fantastic, this service is worth every penny",pos
"what a fantastic experience, i highly recommend it to everyone",pos
this gadget is excellent and works perfectly every time,pos
i am extremely happy with this excellent device,pos
"such a excellent package, i would happily buy it again",pos
"the service exceeded my expectations, truly excellent overall",pos
"absolutely excellent, this experience is worth every penny",pos
"what a excellent order, i highly recommend it to everyone",pos
this device is wonderful and works perfectly every time,pos
i am extremely happy with this wonderful package,pos
"such a wonderful service, i would happily buy it again",pos
"the experience exceeded my expectations, truly wonderful overall",pos
"absolutely wonderful, this order is worth every penny",pos
"what a wonderful product, i highly recommend it to everyone",pos
this package is outstanding and works perfectly every time,pos
i am extremely happy with this outstanding service,pos
"such a outstanding experience, i would happily buy it again",pos
"the order exceeded my expectations, truly outstanding overall",pos
"absolutely outstanding, this product is worth every penny",pos
"what a outstanding purchase, i highly recommend it to everyone",pos
this service is great and works perfectly every time,pos
i am extremely happy with this great experience,pos
"such a great order, i would happily buy it again",pos
"the product exceeded my expectations, truly great overall",pos
"absolutely great, this purchase is worth every penny",pos
"what a great gadget, i highly recommend it to everyone",pos
this experience is impressive and works perfectly every time,pos
i am extremely happy with this impressive order,pos
"such a impressive product, i would happily buy it again",pos
"the purchase exceeded my expectations, truly impressive overall",pos
"absolutely impressive, this gadget is worth every penny",pos
"what a impressive device, i highly recommend it to everyone",pos
this order is reliable and works perfectly every time,pos
i am extremely happy with this reliable product,pos
"such a reliable purchase, i would happily buy it again",pos
"the gadget exceeded my expectations, truly reliable overall",pos
"absolutely reliable, this device is worth every penny",pos
"what a reliable package, i highly recommend it to everyone",pos
this product is delightful and works perfectly every time,pos
i am extremely happy with this delightful purchase,pos
"such a delightful gadget, i would happily buy it again",pos
"the device exceeded my expectations, truly delightful overall",pos
"absolutely delightful, this package is worth every penny",pos
"what a delightful service, i highly recommend it to everyone",pos
this purchase is superb and works perfectly every time,pos
i am extremely happy with this superb gadget,pos
"such a superb device, i would happily buy it again",pos
"the package exceeded my expectations, truly superb overall",pos
"absolutely superb, this service is worth every penny",pos
"what a superb experience, i highly recommend it to everyone",pos
this product is terrible and stopped working within days,neg
i am extremely disappointed with this terrible purchase,neg
"such a terrible gadget, i regret buying it at all",neg
"the device fell short of expectations, truly terrible overall",neg
"absolutely terrible, this package was a waste of money",neg
"what a terrible service, i would not recommend it to anyone",neg
this purchase is awful and stopped working within days,neg
i am extremely disappointed with this awful gadget,neg
"such a awful device, i regret buying it at all",neg
"the package fell short of expectations, truly awful overall",neg
"absolutely awful, this service was a waste of money",neg
"what a awful experience, i would not recommend it to anyone",neg
this gadget is horrible and stopped working within days,neg
i am extremely disappointed with this horrible device,neg
"such a horrible package, i regret buying it at all",neg
"the service fell short of expectations, truly horrible overall",neg
"absolutely horrible, this experience was a waste of money",neg
"what a horrible order, i would not recommend it to anyone",neg
this device is disappointing and stopped working within days,neg
i am extremely disappointed with this disappointing package,neg
"such a disappointing service, i regret buying it at all",neg
"the experience fell short of expectations, truly disappointing overall",neg
"absolutely disappointing, this order was a waste of money",neg
"what a disappointing product, i would not recommend it to anyone",neg
this package is unreliable and stopped working within days,neg
i am extremely disappointed with this unreliable service,neg
"such a unreliable experience, i regret buying it at all",neg
"the order fell short of expectations, truly unreliable overall",neg
"absolutely unreliable, this product was a waste of money",neg
"what a unreliable purchase, i would not recommend it to anyone",neg
this service is poor and stopped working within days,neg
i am extremely disappointed with this poor experience,neg
"such a poor order, i regret buying it at all",neg
"the product fell short of expectations, truly poor overall",neg
"absolutely poor, this purchase was a waste of money",neg
"what a poor gadget, i would not recommend it to anyone",neg
this experience is frustrating and stopped working within days,neg
i am extremely disappointed with this frustrating order,neg
"such a frustrating product, i regret buying it at all",neg
"the purchase fell short of expectations, truly frustrating overall",neg
"absolutely frustrating, this gadget was a waste of money",neg
"what a frustrating device, i would not recommend it to anyone",neg
this order is flimsy and stopped working within days,neg
i am extremely disappointed with this flimsy product,neg
"such a flimsy purchase, i regret buying it at all",neg
"the gadget fell short of expectations, truly flimsy overall",neg
"absolutely flimsy, this device was a waste of money",neg
"what a flimsy package, i would not recommend it to anyone",neg
this product is overpriced and stopped working within days,neg
i am extremely disappointed with this overpriced purchase,neg
"such a overpriced gadget, i regret buying it at all",neg
"the device fell short of expectations, truly overpriced overall",neg
"absolutely overpriced, this package was a waste of money",neg
"what a overpriced service, i would not recommend it to anyone",neg
this purchase is dreadful and stopped working within days,neg
i am extremely disappointed with this dreadful gadget,neg
"such a dreadful device, i regret buying it at all",neg
"the package fell short of expectations, truly dreadful overall",neg
"absolutely dreadful, this service was a waste of money",neg
"what a dreadful experience, i would not recommend it to anyone",neg
